  240   90      4.250000
  235  -90      4.700000
  235  -85      4.703989
  235  -80      4.720766
  235  -75      4.675994
  235  -70      4.759862
  235  -65      4.855886
  235  -60      4.963543
  235  -55      5.076739
  235  -50      5.199654
  235  -45      5.192436
  235  -40      5.146820
  235  -35      5.129092
  235  -30      5.191844
  235  -25      5.440783
  235  -20      5.771106
  235  -15      6.186982
  235  -10      6.640000
  235   -5      6.800000
  235    0      6.860000
  235    5      6.770268
  235   10      6.749928
  235   15      6.700000
  235   20      6.605539
  235   25      6.397601
  235   30      6.190000
  235   35      6.036085
  235   40      5.932563
  235   45      5.768166
  235   50      5.564187
  235   55      5.276400
  235   60      5.059434
  235   65      4.911229
  235   70      4.725009
  235   75      4.516692
  235   80      4.369217
  235   85      4.279315
  235   90      4.250000
  230  -90      4.700000
  230  -85      4.706650
  230  -80      4.727726
  230  -75      4.750879
  230  -70      4.863172
  230  -65      4.989522
  230  -60      5.129547
  230  -55      5.253897
  230  -50      5.390233
  230  -45      5.383877
  230  -40      5.400218
  230  -35      5.409940
  230  -30      5.450000
  230  -25      5.709049
  230  -20      5.992945
  230  -15      6.319757
  230  -10      6.660000
  230   -5      6.646806
  230    0      6.740000
  230    5      6.603553
  230   10      6.593520
  230   15      6.540000
  230   20      6.600000
  230   25      6.520000
  230   30      6.337409
  230   35      6.282509
  230   40      6.178177
  230   45      6.003937
  230   50      5.770003
  230   55      5.481435
  230   60      5.199968
  230   65      5.021869
  230   70      4.812621
  230   75      4.545764
  230   80      4.386363
  230   85      4.287349
  230   90      4.250000
  225  -90      4.700000
  225  -85      4.709337
  225  -80      4.734796
  225  -75      4.826035
  225  -70      4.967020
  225  -65      5.124128
  225  -60      5.297172
  225  -55      5.433639
  225  -50      5.584775
  225  -45      5.561735
  225  -40      5.522219
  225  -35      5.470452
  225  -30      5.680286
  225  -25      5.949347
  225  -20      6.248164
  225  -15      6.491940
  225  -10      6.675828
  225   -5      6.656246
  225    0      6.700000
  225    5      6.500000
  225   10      6.430000
  225   15      6.500000
  225   20      6.600000
  225   25      6.680000
